Date,Open,High,Low,Close,Adj Close,Volume
2017-08-30,46380.000000,46400.000000,45960.000000,46200.000000,40527.628906,7513000
2017-08-31,46220.000000,46640.000000,46000.000000,46320.000000,40632.894531,11011700
2017-09-01,46460.000000,46640.000000,46300.000000,46480.000000,40773.246094,10641700
2017-09-04,45780.000000,46360.000000,45500.000000,46040.000000,40387.273438,7943500
2017-09-05,46240.000000,46900.000000,45960.000000,46760.000000,41018.878906,11716100
2017-09-06,46760.000000,47180.000000,46700.000000,47000.000000,41229.414063,10811050
2017-09-07,47000.000000,48220.000000,47000.000000,48120.000000,42211.898438,9676500
2017-09-08,48700.000000,49180.000000,48580.000000,49080.000000,43054.031250,10893000
2017-09-11,49700.000000,50180.000000,49500.000000,49800.000000,43685.632813,10374750
2017-09-12,50200.000000,50220.000000,49140.000000,49600.000000,43510.179688,12029750
2017-09-13,49820.000000,50400.000000,49440.000000,49620.000000,43527.730469,9357000
2017-09-14,50060.000000,50320.000000,49760.000000,50300.000000,44124.242188,14204750
2017-09-15,50300.000000,50560.000000,49860.000000,50400.000000,44211.960938,10757300
2017-09-18,50540.000000,52480.000000,50520.000000,52480.000000,46036.582031,11524950
2017-09-19,52500.000000,52640.000000,51780.000000,52120.000000,45720.785156,9850400
2017-09-20,52120.000000,52500.000000,51840.000000,52220.000000,45808.507813,9292750
2017-09-21,52220.000000,52960.000000,52220.000000,52800.000000,46317.289063,8839800
2017-09-25,53000.000000,53680.000000,53000.000000,53620.000000,47036.617188,9303100
2017-09-26,53620.000000,53620.000000,53620.000000,53620.000000,47036.617188,0
2017-09-27,52000.000000,52200.000000,51500.000000,51680.000000,45334.812500,10797000
2017-09-28,52260.000000,52460.000000,51260.000000,51260.000000,45088.511719,12025450
2017-09-29,51180.000000,51620.000000,50840.000000,51280.000000,45106.109375,12909400
2017-10-10,53360.000000,53640.000000,52800.000000,52800.000000,46443.101563,20519800
2017-10-11,53600.000000,54760.000000,53340.000000,54640.000000,48061.570313,13652150
2017-10-12,54840.000000,55160.000000,54100.000000,54800.000000,48202.312500,13890700
2017-10-13,54540.000000,54840.000000,53780.000000,54000.000000,47498.628906,12601650
2017-10-16,53980.000000,54860.000000,53760.000000,53920.000000,47428.257813,9769950
2017-10-17,54020.000000,55380.000000,54000.000000,54800.000000,48202.312500,10607800
2017-10-18,54820.000000,55240.000000,54040.000000,54760.000000,48167.128906,10110750
2017-10-19,54700.000000,54700.000000,52980.000000,52980.000000,46601.437500,12108700
2017-10-20,52800.000000,54100.000000,52800.000000,53840.000000,47357.894531,8027050
2017-10-23,54600.000000,54640.000000,54000.000000,54300.000000,47762.511719,8311050
2017-10-24,54700.000000,54780.000000,54040.000000,54040.000000,47533.820313,5806050
2017-10-25,54040.000000,54420.000000,53700.000000,53900.000000,47410.664063,5882850
2017-10-26,53720.000000,53900.000000,52400.000000,52400.000000,46091.261719,9776550
2017-10-27,52400.000000,53320.000000,52140.000000,53080.000000,46689.398438,7392500
2017-10-30,53780.000000,54320.000000,53700.000000,54040.000000,47533.820313,8196150
2017-10-31,54060.000000,55440.000000,53500.000000,55080.000000,48448.601563,13381550
2017-11-01,57500.000000,57500.000000,56180.000000,57220.000000,50330.949219,14510250
2017-11-02,57500.000000,57520.000000,56760.000000,57060.000000,50190.214844,10721050
2017-11-03,57060.000000,57140.000000,55860.000000,56380.000000,49592.089844,9935800
2017-11-06,56380.000000,56500.000000,55340.000000,56380.000000,49592.089844,9000950
2017-11-07,56380.000000,56920.000000,55860.000000,56100.000000,49345.796875,7464550
2017-11-08,56100.000000,57060.000000,55860.000000,56760.000000,49926.335938,8520200
2017-11-09,56920.000000,56920.000000,55900.000000,56340.000000,49556.898438,11994050
2017-11-10,55800.000000,56540.000000,55780.000000,56400.000000,49609.683594,6748800
2017-11-13,56400.000000,56800.000000,56100.000000,56380.000000,49592.089844,8806650
2017-11-14,56380.000000,56740.000000,55920.000000,55920.000000,49187.472656,6725000
2017-11-15,55920.000000,56320.000000,55320.000000,55340.000000,48677.308594,8816950
2017-11-16,null,null,null,null,null,null
2017-11-17,56400.000000,56880.000000,55820.000000,55820.000000,49099.515625,10733150
2017-11-20,55900.000000,55980.000000,55200.000000,55200.000000,48554.152344,9472750
2017-11-21,55400.000000,55840.000000,55280.000000,55280.000000,48624.523438,10324700
2017-11-22,55980.000000,56200.000000,55620.000000,55960.000000,49222.656250,7952950
2017-11-23,null,null,null,null,null,null
2017-11-24,55300.000000,55500.000000,55180.000000,55460.000000,48782.855469,4536200
2017-11-27,55360.000000,55360.000000,52640.000000,52640.000000,46302.371094,18128900
2017-11-28,52700.000000,53280.000000,51720.000000,53280.000000,46865.316406,13499400
2017-11-29,53200.000000,53240.000000,52500.000000,52600.000000,46267.191406,9590250
2017-11-30,50800.000000,51860.000000,50200.000000,50800.000000,44683.902344,29634150
2017-12-01,50800.000000,51780.000000,50800.000000,50840.000000,44719.074219,12868600
2017-12-04,50840.000000,51340.000000,50020.000000,51340.000000,45158.882813,14865050
2017-12-05,50600.000000,51300.000000,50280.000000,51260.000000,45088.511719,9326550
2017-12-06,51260.000000,51560.000000,50020.000000,50020.000000,43997.800781,10889200
2017-12-07,50040.000000,50980.000000,50020.000000,50740.000000,44631.125000,11065600
2017-12-08,51360.000000,52000.000000,51040.000000,52000.000000,45739.421875,11290450
2017-12-11,52000.000000,52040.000000,51500.000000,51780.000000,45545.906250,8125850
2017-12-12,51820.000000,52100.000000,51660.000000,52100.000000,45827.382813,8765050
2017-12-13,52100.000000,52100.000000,51100.000000,51320.000000,45141.289063,11333700
2017-12-14,51320.000000,52280.000000,51060.000000,51060.000000,44912.593750,20310400
2017-12-15,51240.000000,51480.000000,50520.000000,50620.000000,44525.570313,14928550
2017-12-18,50620.000000,51240.000000,50620.000000,51200.000000,45035.734375,7350250
2017-12-19,51540.000000,52080.000000,51520.000000,51560.000000,45352.390625,11978600
2017-12-21,51000.000000,51060.000000,49100.000000,49140.000000,43223.750000,15624300
2017-12-22,49400.000000,49960.000000,49240.000000,49700.000000,43716.328125,11199650
2017-12-26,49760.000000,50100.000000,48200.000000,48200.000000,42396.921875,16039850
2017-12-27,48960.000000,49560.000000,48460.000000,49360.000000,43808.085938,10743600
2017-12-28,49560.000000,50960.000000,49500.000000,50960.000000,45228.125000,8985450
2018-01-02,null,null,null,null,null,null
2018-01-03,52540.000000,52560.000000,51420.000000,51620.000000,45813.894531,10013500
2018-01-04,52120.000000,52180.000000,50640.000000,51080.000000,45334.621094,11695450
2018-01-05,51300.000000,52120.000000,51200.000000,52120.000000,46257.648438,9481150
2018-01-08,52400.000000,52520.000000,51500.000000,52020.000000,46168.898438,8383650
2018-01-09,51460.000000,51720.000000,49980.000000,50400.000000,44731.109375,18013600
2018-01-10,50500.000000,50520.000000,48640.000000,48840.000000,43346.566406,18566800
2018-01-11,48200.000000,49260.000000,48020.000000,48240.000000,42814.058594,25123800
2018-01-12,48240.000000,48480.000000,46760.000000,48200.000000,42778.550781,27270450
2018-01-15,48800.000000,48980.000000,47920.000000,48540.000000,43080.320313,10096000
2018-01-16,48760.000000,50140.000000,48620.000000,50000.000000,44376.093750,20389650
2018-01-17,50020.000000,50020.000000,49060.000000,49620.000000,44038.835938,11053050
2018-01-18,50020.000000,50640.000000,49820.000000,49900.000000,44287.343750,14848850
2018-01-19,50380.000000,50380.000000,49040.000000,49320.000000,43772.582031,9219950
2018-01-22,48640.000000,48680.000000,47960.000000,48240.000000,42814.058594,12520900
2018-01-23,48660.000000,49160.000000,48300.000000,49160.000000,43630.585938,13532700
2018-01-24,48860.000000,49700.000000,48560.000000,49340.000000,43790.335938,9550500
2018-01-25,49220.000000,50360.000000,49160.000000,50260.000000,44606.851563,11160350
2018-01-26,50500.000000,50780.000000,49840.000000,50780.000000,45068.367188,10350100
2018-01-29,51200.000000,51480.000000,50900.000000,51220.000000,45458.882813,11838800
2018-01-30,50440.000000,50640.000000,49780.000000,49800.000000,44198.589844,12284550
2018-01-31,50020.000000,54140.000000,49600.000000,49900.000000,44287.343750,64681300
2018-02-01,50620.000000,50960.000000,49720.000000,49820.000000,44216.339844,27609450
2018-02-02,49380.000000,49400.000000,47700.000000,47700.000000,42334.796875,29260350
2018-02-05,46500.000000,48320.000000,46000.000000,47920.000000,42530.054688,28357900
2018-02-06,46600.000000,47920.000000,46580.000000,47420.000000,42086.289063,19406450
2018-02-07,48240.000000,48260.000000,45800.000000,45800.000000,40648.515625,23448050
2018-02-08,46120.000000,46620.000000,45980.000000,46000.000000,40826.007813,23251050
2018-02-09,44440.000000,45180.000000,44420.000000,44700.000000,39672.238281,17465000
2018-02-12,45100.000000,46320.000000,45040.000000,45720.000000,40577.500000,15754950
2018-02-13,46200.000000,48060.000000,46200.000000,47540.000000,42192.792969,18923250
2018-02-14,48080.000000,49100.000000,47940.000000,49000.000000,43488.570313,18905900
2018-02-19,49800.000000,49800.000000,47860.000000,48380.000000,42938.320313,15353450
2018-02-20,48040.000000,48160.000000,47220.000000,47400.000000,42068.539063,10122600
2018-02-21,47280.000000,47580.000000,46840.000000,47280.000000,41962.035156,12880200
2018-02-22,47260.000000,47260.000000,46760.000000,46760.000000,41500.527344,8869950
2018-02-23,46760.000000,47800.000000,46760.000000,47220.000000,41908.792969,12423300
2018-02-26,47280.000000,47560.000000,47080.000000,47380.000000,42050.789063,9560650
2018-02-27,48360.000000,48380.000000,47380.000000,47380.000000,42050.789063,9830550
2018-02-28,47380.000000,48100.000000,47000.000000,47060.000000,41766.789063,15162350
2018-03-02,46580.000000,46800.000000,46000.000000,46020.000000,40843.769531,13265500
2018-03-05,45820.000000,46160.000000,45080.000000,45200.000000,40115.984375,14100950
2018-03-06,45920.000000,47100.000000,45820.000000,47020.000000,41731.289063,15423350
2018-03-07,48200.000000,48900.000000,47220.000000,48620.000000,43151.316406,21427050
2018-03-08,49200.000000,49480.000000,48080.000000,49200.000000,43666.085938,19463650
2018-03-09,49440.000000,50540.000000,49240.000000,49740.000000,44145.339844,14304400
2018-03-12,50560.000000,50780.000000,49580.000000,49740.000000,44145.339844,8688950
2018-03-13,50760.000000,51660.000000,50360.000000,51660.000000,45849.394531,20098700
2018-03-14,51020.000000,52000.000000,51000.000000,51760.000000,45938.136719,12713250
2018-03-15,52000.000000,52020.000000,51020.000000,51540.000000,45742.875000,8882450
2018-03-16,51220.000000,51420.000000,50240.000000,51140.000000,45387.875000,12184900
2018-03-19,50620.000000,51340.000000,50440.000000,50740.000000,45032.863281,8218850
2018-03-20,50700.000000,51200.000000,50100.000000,51200.000000,45441.125000,8193250
2018-03-21,51780.000000,51780.000000,51060.000000,51060.000000,45316.875000,8905200
2018-03-22,51060.000000,51780.000000,51040.000000,51780.000000,45955.890625,8454100
2018-03-23,50340.000000,50720.000000,49600.000000,49720.000000,44127.589844,14854950
2018-03-26,49420.000000,50280.000000,49040.000000,50280.000000,44624.601563,10057750
2018-03-27,50320.000000,50460.000000,49080.000000,49980.000000,44358.351563,11874000
2018-03-28,49100.000000,49100.000000,48340.000000,48700.000000,43222.324219,15159450
2018-03-29,48700.000000,49560.000000,48320.000000,49040.000000,43842.765625,10067000
2018-03-30,49080.000000,49900.000000,49080.000000,49220.000000,44003.683594,7777100
2018-04-02,49000.000000,49220.000000,48500.000000,48540.000000,43395.761719,7115650
2018-04-03,47880.000000,48140.000000,47280.000000,48120.000000,43020.273438,12768250
2018-04-04,48160.000000,48260.000000,46920.000000,46920.000000,41947.445313,12384200
2018-04-05,47400.000000,49380.000000,47340.000000,48740.000000,43574.566406,13245600
2018-04-06,48000.000000,48580.000000,47400.000000,48400.000000,43270.597656,12532700
2018-04-09,48260.000000,49440.000000,48200.000000,49200.000000,43985.816406,9950400
2018-04-10,48540.000000,49220.000000,48040.000000,48880.000000,43699.722656,10984350
2018-04-11,49900.000000,49900.000000,48600.000000,48860.000000,43681.843750,10051100
2018-04-12,49440.000000,49440.000000,48880.000000,49000.000000,43807.003906,12466250
2018-04-13,49600.000000,50180.000000,49400.000000,49800.000000,44522.222656,10278300
2018-04-16,50320.000000,50600.000000,49860.000000,50340.000000,45005.000000,7877450
